sample,Id,Iq,theta_elec,omega_elec
0,0.619736,1.13923,0.728851,0
1,0.645349,1.05474,0.785398,0
2,0.634008,1.00116,0.835665,0
3,0.631282,0.930161,0.892214,0
4,0.619866,0.856425,0.948761,0
5,0.552382,0.78262,0.999027,0
6,0.550241,0.732407,1.05558,0
7,0.54244,0.670106,1.10584,0
8,0.505995,0.640794,1.16239,0
9,0.465801,0.624285,1.21894,0
10,0.410197,0.613398,1.2692,0
11,0.372067,0.628715,1.32575,0
12,0.354274,0.638682,1.37602,0
13,0.304814,0.658634,1.43257,0
14,0.274895,0.664974,1.48283,0
15,0.256492,0.685013,1.53938,0
16,0.218765,0.707498,1.58965,0
17,0.19764,0.691597,1.6462,0
18,0.161094,0.6968,1.69646,0
19,0.164573,0.693149,1.75301,0
20,0.13694,0.709496,1.80328,0
21,0.110964,0.691095,1.85982,0
22,0.0840475,0.710052,1.91009,0
23,0.0936805,0.694175,1.96664,0
24,0.0788232,0.696858,2.0169,0
25,0.0695184,0.678187,2.07345,0
26,0.0587156,0.693282,2.12372,0
27,0.0348522,0.700192,2.17398,0
28,0.0302685,0.709241,2.23053,0
29,0.013337,0.710584,2.2808,0
30,0.0138112,0.69363,2.33735,0
31,0.00190011,0.706173,2.38761,0
32,-0.0111364,0.692098,2.44416,0
33,-0.0234478,0.678905,2.49443,0
34,-0.0337253,0.682868,2.55097,0
35,-0.0422961,0.721351,2.60124,0
36,-0.0505801,0.703602,2.65779,0
37,-0.0449323,0.711445,2.70805,0
38,-0.0340223,0.720709,2.7646,0
39,-0.0187353,0.739917,2.81487,0
40,0.0301085,0.766803,2.87142,0
41,0.0952786,0.788856,2.92168,0
42,0.140205,0.800658,2.97823,0
43,0.196902,0.800573,3.0285,0
44,0.254398,0.813078,3.08505,0
45,0.302055,0.77515,3.13531,0
46,0.366283,0.755788,3.19186,0
47,0.418887,0.74705,3.24212,0
48,0.458434,0.718563,3.29239,0
49,0.511966,0.688633,3.34894,0
50,0.547753,0.65531,3.3992,0
51,0.56463,0.597811,3.45575,0
52,0.586446,0.539223,3.50602,0
53,0.624495,0.481549,3.56257,0
54,0.631811,0.410303,3.61283,0
55,0.621519,0.332635,3.6631,0
56,0.633104,0.293823,3.71965,0
57,0.626492,0.239256,3.76991,0
58,0.623631,0.195558,3.82018,0
59,0.590927,0.133508,3.87673,0
60,0.57487,0.0914948,3.92699,0
61,0.531001,0.0522438,3.97726,0
62,0.507355,0.00909308,4.02752,0
63,0.487509,-0.0337997,4.08407,0
64,0.457335,-0.0597705,4.13434,0
65,0.384102,-0.107129,4.1846,0
66,0.325695,-0.129917,4.23487,0
67,0.263778,-0.171149,4.28513,0
68,0.195308,-0.181501,4.3354,0
69,0.12425,-0.19726,4.38566,0
70,0.0493037,-0.218036,4.43593,0
71,-0.0590352,-0.228319,4.4862,0
72,-0.137688,-0.226393,4.53646,0
73,-0.24653,-0.217462,4.58673,0
74,-0.317382,-0.209351,4.63699,0
75,-0.394367,-0.177377,4.68726,0
76,-0.462821,-0.141873,4.73752,0
77,-0.503406,-0.0878875,4.78779,0
78,-0.662137,-0.0358769,4.83805,0
79,-0.67246,0.017512,4.8946,0
80,-0.730022,0.115493,4.94487,0
81,-0.80934,0.180656,4.99513,0
82,-0.865477,0.269838,5.0454,0
83,-0.906852,0.335572,5.09566,0
84,-0.935633,0.394684,5.14593,0
85,-0.978792,0.474915,5.1962,0
86,-1.02662,0.554463,5.24646,0
87,-1.03465,0.625763,5.29673,0
88,-1.01857,0.684893,5.34699,0
89,-1.00817,0.752558,5.40354,0
90,-1.00212,0.846695,5.4538,0
91,-0.99547,0.918714,5.50407,0
92,-0.970771,0.987778,5.55434,0
93,-0.943489,1.07888,5.61089,0
94,-0.891518,1.15963,5.66115,0
95,-0.832194,1.24624,5.7177,0
96,-0.78049,1.30053,5.76797,0
97,-0.706699,1.36212,5.81823,0
98,-0.640586,1.40127,5.87478,0
99,-0.559032,1.49361,5.92504,0
100,-0.479363,1.5527,5.98159,0
101,-0.355326,1.58025,6.03186,0
102,-0.251929,1.63741,6.08841,0
103,-0.156359,1.6555,6.14496,0
104,-0.0879417,1.67207,6.19522,0
105,-0.0178891,1.67964,6.25177,0
106,0.0278276,1.66102,0.0188512,0
107,0.0889943,1.64109,0.0753988,0
108,0.176279,1.64633,0.131948,0
109,0.232523,1.6284,0.188497,0
110,0.281221,1.59778,0.238762,0
111,0.344024,1.56231,0.295311,0
112,0.402609,1.53177,0.35186,0
113,0.440891,1.47332,0.402125,0
114,0.488646,1.42281,0.458674,0
115,0.544235,1.37877,0.515223,0
116,0.551881,1.33828,0.565488,0
117,0.579414,1.25704,0.622037,0
118,0.622428,1.20534,0.678584,0
119,0.626361,1.14141,0.728851,0
120,0.598186,1.0421,0.7854,0
121,0.62226,0.981063,0.841947,0
122,0.628769,0.923654,0.892214,0
123,0.605984,0.855053,0.948763,0
124,0.57769,0.792082,1.00531,0
125,0.560653,0.726278,1.05558,0
126,0.550511,0.672486,1.11212,0
127,0.530942,0.643988,1.16239,0
128,0.472336,0.641544,1.21894,0
129,0.418178,0.648754,1.2692,0
130,0.366991,0.649016,1.32575,0
131,0.355667,0.650147,1.3823,0
132,0.308395,0.676739,1.43257,0
133,0.272763,0.666217,1.48912,0
134,0.26264,0.681717,1.53938,0
135,0.234584,0.677912,1.59593,0
136,0.209162,0.683732,1.6462,0
137,0.170081,0.684607,1.70274,0
138,0.156736,0.683954,1.75301,0
139,0.133147,0.674733,1.80956,0
140,0.11775,0.692716,1.85982,0
141,0.0930116,0.680998,1.91009,0
142,0.0840723,0.686851,1.96664,0
143,0.0679238,0.70207,2.0169,0
144,0.0726259,0.696379,2.07345,0
145,0.0623789,0.699218,2.12372,0
146,0.0432436,0.705678,2.18027,0
147,0.0329051,0.702783,2.23053,0
148,0.0154876,0.698627,2.28708,0
149,0.0118791,0.700333,2.33735,0
150,0.000757575,0.676258,2.39389,0
151,-0.0176895,0.694489,2.44416,0
152,-0.0208134,0.692894,2.50071,0
153,-0.029333,0.707632,2.55097,0
154,-0.0496973,0.707526,2.60752,0
155,-0.0559224,0.721267,2.65779,0
156,-0.0518162,0.719818,2.71434,0
157,-0.0449555,0.729375,2.7646,0
158,-0.00746576,0.742217,2.82115,0
159,0.0385807,0.775418,2.87142,0
160,0.0929825,0.805213,2.92796,0
161,0.14217,0.788737,2.97823,0
162,0.201929,0.79932,3.03478,0
163,0.268326,0.813867,3.08505,0
164,0.310409,0.791359,3.14159,0
165,0.371284,0.785779,3.19186,0
166,0.42075,0.750781,3.24841,0
167,0.472329,0.708066,3.29867,0
168,0.509032,0.668431,3.35522,0
169,0.554081,0.619967,3.40549,0
170,0.570431,0.570519,3.45575,0
171,0.586508,0.517371,3.5123,0
172,0.624495,0.481549,3.56257,0
173,0.634056,0.413292,3.61912,0
174,0.635766,0.3496,3.66938,0
175,0.639706,0.303941,3.71965,0
176,0.627983,0.235315,3.77619,0
177,0.639013,0.203465,3.82646,0
178,0.613771,0.153573,3.87673,0
179,0.587725,0.109823,3.93328,0
