sample,theta_elec,Vd,Vq
0,4.69354,0.44262,1.81681
1,4.72496,0.447241,1.81628
2,4.75009,0.452978,1.81195
3,4.77522,0.451149,1.81194
4,4.80664,0.456127,1.80638
5,4.83177,0.452563,1.81387
6,4.8569,0.455438,1.81025
7,4.88832,0.453334,1.81318
8,4.91345,0.455872,1.80916
9,4.94487,0.459215,1.81062
10,4.97,0.451287,1.80872
11,4.99513,0.455905,1.80461
12,5.02655,0.460032,1.80815
13,5.05168,0.459214,1.8023
14,5.07681,0.459288,1.80724
15,5.10823,0.460145,1.81586
16,5.13336,0.462574,1.80599
17,5.16478,0.459902,1.80538
18,5.18991,0.462161,1.80786
19,5.21504,0.45516,1.81036
20,5.24646,0.454683,1.8163
21,5.27159,0.45134,1.80627
22,5.29673,0.456679,1.79429
23,5.32814,0.451955,1.80082
24,5.35328,0.456748,1.80194
25,5.37841,0.462345,1.80298
26,5.40982,0.453299,1.80357
27,5.43496,0.450091,1.81196
28,5.46637,0.444737,1.80768
29,5.4915,0.450767,1.80265
30,5.51664,0.451327,1.79827
31,5.54805,0.455822,1.79758
32,5.57319,0.451405,1.80608
33,5.59832,0.453884,1.80736
34,5.62973,0.448026,1.80587
35,5.65487,0.44784,1.80171
36,5.68,0.449638,1.80511
37,5.71142,0.446176,1.79892
38,5.73655,0.448091,1.79849
39,5.76168,0.450339,1.78502
40,5.7931,0.449639,1.8003
41,5.81823,0.449601,1.80175
42,5.84336,0.449109,1.79692
43,5.87478,0.448672,1.80099
44,5.89991,0.448244,1.79918
45,5.92504,0.454243,1.80248
46,5.95646,0.447757,1.79851
47,5.98159,0.451436,1.8034
48,6.00673,0.446564,1.79446
49,6.03814,0.451359,1.78456
50,6.06327,0.450336,1.78868
51,6.08841,0.450536,1.78812
52,6.11982,0.444826,1.78952
53,6.14496,0.449994,1.79575
54,6.17009,0.446668,1.78742
55,6.20151,0.444423,1.78394
56,6.22664,0.446885,1.78871
57,6.25177,0.439064,1.78535
58,1.49803e-06,0.442206,1.78759
59,0.0251339,0.445268,1.79269
60,0.0502663,0.443576,1.78459
61,0.081683,0.439547,1.78389
62,0.106815,0.440271,1.77998
63,0.131948,0.441774,1.78103
64,0.15708,0.444822,1.7792
65,0.188497,0.441184,1.7867
66,0.213629,0.435861,1.78451
67,0.245044,0.43753,1.78304
68,0.270178,0.441676,1.78647
69,0.295311,0.441221,1.78884
70,0.320443,0.445174,1.78413
71,0.35186,0.443991,1.78906
72,0.376992,0.43647,1.78548
73,0.402125,0.444317,1.78372
74,0.433541,0.435556,1.78287
75,0.458674,0.434512,1.78447
76,0.483806,0.436387,1.78476
77,0.515223,0.435145,1.7865
78,0.540355,0.442922,1.78663
79,0.565488,0.443383,1.78501
80,0.596903,0.435056,1.7885
81,0.622037,0.436902,1.78531
82,0.647169,0.433763,1.78533
83,0.672302,0.444271,1.78496
84,0.703718,0.435483,1.78256
85,0.728851,0.440641,1.78216
86,0.753983,0.441117,1.78266
87,0.7854,0.438689,1.78547
88,0.810532,0.441596,1.77557
89,0.835665,0.445014,1.7842
90,0.860797,0.440852,1.77812
91,0.892214,0.433248,1.78244
92,0.917346,0.444237,1.78172
93,0.942478,0.435673,1.78081
94,0.973895,0.433372,1.7781
95,0.999027,0.436106,1.77803
96,1.02416,0.435981,1.78327
97,1.05558,0.437061,1.78083
98,1.08071,0.437165,1.77511
99,1.10584,0.439111,1.77682
100,1.13726,0.437543,1.77896
101,1.16239,0.431482,1.77922
102,1.18752,0.442556,1.78005
103,1.21266,0.438463,1.77749
104,1.24407,0.425536,1.77909
105,1.2692,0.432706,1.77961
106,1.29434,0.431701,1.78205
107,1.32575,0.437045,1.77991
108,1.35089,0.431436,1.78087
109,1.37602,0.433613,1.78222
110,1.40743,0.427544,1.78057
111,1.43257,0.432758,1.77719
112,1.4577,0.437883,1.77938
113,1.48912,0.434947,1.77923
114,1.51425,0.431882,1.78559
115,1.53938,0.431659,1.78815
116,1.56451,0.434352,1.78607
117,1.59593,0.433688,1.7786
118,1.62106,0.436533,1.7811
119,1.65248,0.423085,1.79152
120,1.67761,0.424287,1.78935
121,1.70274,0.423532,1.79167
122,1.72788,0.427388,1.78688
123,1.75929,0.429642,1.78942
124,1.78443,0.421466,1.79122
125,1.80956,0.427759,1.78645
126,1.84097,0.430902,1.77966
127,1.86611,0.427913,1.78725
