sample,vbus
0,45.2011
1,45.1956
2,45.1775
3,45.1345
4,45.1312
5,45.1151
6,45.0614
7,45.0348
8,44.9836
9,44.9339
10,44.9751
11,44.9385
12,44.8903
13,44.8818
14,44.8863
15,44.8716
16,44.9275
17,44.9688
18,44.9834
19,44.9847
20,44.9924
21,44.9489
22,44.9131
23,44.8975
24,44.8315
25,44.7739
26,44.7436
27,44.6824
28,44.5976
29,44.6111
30,44.6114
31,44.5735
32,44.5686
33,44.5703
34,44.4954
35,44.4356
36,44.4605
37,44.4783
38,44.5274
39,44.645
40,44.6889
41,44.6995
42,44.7926
43,44.8382
44,44.8377
45,44.8755
46,44.9312
47,44.9279
48,44.9246
49,44.9151
50,44.8867
51,44.8783
52,44.9276
53,44.9562
54,44.9457
55,44.961
56,44.9503
57,44.9335
58,45.0066
59,45.0709
60,45.0695
61,45.049
62,45.0611
63,45.0409
64,45.0149
65,45.0089
66,44.9458
67,44.9483
68,44.9763
69,44.9906
70,44.9917
71,45.0374
72,45.0243
73,45.0117
74,45.0249
75,44.9867
76,44.9433
77,44.9459
78,44.9421
79,44.9193
80,44.9226
81,44.9323
82,44.9034
83,44.8881
84,44.9116
85,44.8897
86,44.8303
87,44.8428
88,44.8422
89,44.8608
90,44.866
91,44.82
92,44.8074
93,44.8207
94,44.7634
95,44.6825
96,44.6678
97,44.6281
98,44.5705
99,44.5721
100,44.6183
101,44.5928
102,44.581
103,44.5759
104,44.5582
105,44.5219
106,44.5887
107,44.5961
108,44.5714
109,44.6239
110,44.6493
111,44.6357
112,44.6416
113,44.6664
114,44.6395
115,44.6835
116,44.7198
117,44.7294
118,44.7579
119,44.8364
120,44.836
121,44.8611
122,44.9364
123,44.9838
124,44.9661
125,44.9998
126,45.0198
127,45.0009
